,Digitizer,yyyyjjj,Latitude,LatSTD,dates
1062,92B7,2019213,28.57347777777778,1.5853517724566867e-05,2019-08-01
1068,92B7,2019214,28.57347777777778,1.3649465393260614e-05,2019-08-02
1074,92B7,2019215,28.573483333333332,5.141912718778732e-06,2019-08-03
1080,92B7,2019216,28.57347777777778,1.3670116999203968e-05,2019-08-04
1086,92B7,2019217,28.573475,1.735712352327353e-05,2019-08-05
1092,92B7,2019218,28.57347777777778,9.860864387261335e-06,2019-08-06
1098,92B7,2019219,28.57347777777778,9.882911322187911e-06,2019-08-07
1104,92B7,2019220,28.57347777777778,1.1487145115830963e-05,2019-08-08
1110,92B7,2019221,28.57347777777778,1.2709969133888364e-05,2019-08-09
1116,92B7,2019222,28.57347777777778,1.3033168328228276e-05,2019-08-10
1122,92B7,2019223,28.57347777777778,1.2718628020045406e-05,2019-08-11
1128,92B7,2019224,28.57347777777778,1.2711591271446366e-05,2019-08-12
1134,92B7,2019225,28.57347777777778,1.2581574985180157e-05,2019-08-13
1140,92B7,2019226,28.57347777777778,1.2482674974763246e-05,2019-08-14
1146,92B7,2019227,28.57347777777778,1.2707996902490585e-06,2019-08-15
1152,92B7,2019228,28.573475,1.3884757147746395e-06,2019-08-16
1158,92B7,2019229,28.57347777777778,7.076518837084819e-07,2019-08-17
1164,92B7,2019230,28.57347777777778,3.552713678800501e-15,2019-08-18
1170,92B7,2019231,28.57347777777778,3.552713678800501e-15,2019-08-19
1191,92B7,2019235,28.57347777777778,0.0,2019-08-23
1197,92B7,2019236,28.57347777777778,9.303474804342521e-06,2019-08-24
1203,92B7,2019237,28.573458333333335,9.74617657897463e-06,2019-08-25
1209,92B7,2019238,28.573458333333335,1.05043757130605e-05,2019-08-26
1215,92B7,2019239,28.573458333333335,1.1553771020915243e-05,2019-08-27
1221,92B7,2019240,28.573469444444445,1.3314500683779435e-05,2019-08-28
1227,92B7,2019241,28.573469444444445,1.6097334995688014e-05,2019-08-29
1233,92B7,2019242,28.57346111111111,1.788600704898226e-05,2019-08-30
1250,92B7,2019255,28.57346111111111,1.804110532882927e-05,2019-09-12
1255,92B7,2019256,28.57346111111111,1.6620072986382207e-05,2019-09-13
1261,92B7,2019257,28.573458333333335,1.4964489803999413e-05,2019-09-14
1267,92B7,2019258,28.573458333333335,1.637253862451347e-05,2019-09-15
1273,92B7,2019259,28.573458333333335,1.6588549372981522e-05,2019-09-16
1279,92B7,2019260,28.573469444444445,1.6445055950540316e-05,2019-09-17
1285,92B7,2019261,28.573458333333335,1.4989074793319844e-05,2019-09-18
1291,92B7,2019262,28.573452777777778,1.546213608001444e-05,2019-09-19
1297,92B7,2019263,28.573452777777778,1.543614885136361e-05,2019-09-20
1303,92B7,2019264,28.57345,1.4791048385379414e-05,2019-09-21
1309,92B7,2019265,28.57345,1.4660423566245834e-05,2019-09-22
1315,92B7,2019266,28.57343611111111,7.318877144985694e-06,2019-09-23
1321,92B7,2019267,28.57343611111111,7.4159522932477015e-06,2019-09-24
1327,92B7,2019268,28.573433333333334,8.332698243616776e-06,2019-09-25
1333,92B7,2019269,28.573433333333334,8.327888093982369e-06,2019-09-26
1339,92B7,2019270,28.57345,8.332698243616776e-06,2019-09-27
1345,92B7,2019271,28.573433333333334,2.0457583999325425e-05,2019-09-28
1351,92B7,2019272,28.57347777777778,1.4733047160614524e-05,2019-09-29
1357,92B7,2019273,28.573452777777778,1.2147816447997641e-05,2019-09-30
1363,92B7,2019274,28.573469444444445,1.0255038509166585e-05,2019-10-01
1369,92B7,2019275,28.573469444444445,1.7061079377954247e-05,2019-10-02
1375,92B7,2019276,28.573452777777778,1.4438178153860418e-05,2019-10-03
1381,92B7,2019277,28.573452777777778,1.5363250382480887e-05,2019-10-04
1387,92B7,2019278,28.57345,1.7308599085246225e-05,2019-10-05
1393,92B7,2019279,28.57344722222222,8.287197392234238e-06,2019-10-06
1399,92B7,2019280,28.57344722222222,8.312173177508322e-06,2019-10-07
1405,92B7,2019281,28.57345,1.4019598900978583e-05,2019-10-08
