,filename,starttime,endtime,hours,npts,nRECS,Fs,numValidTimes,numTimeSkips,passed
139,20221202.100hz.100hz_Sensors_1Sec63.pkl,2022-08-01 00:00:01.000000,2022-08-01 04:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
140,20221202.100hz.100hz_Sensors_1Sec64.pkl,2022-08-01 04:00:01.000000,2022-08-01 08:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
141,20221202.100hz.100hz_Sensors_1Sec65.pkl,2022-08-01 08:00:01.000000,2022-08-01 12:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
142,20221202.100hz.100hz_Sensors_1Sec66.pkl,2022-08-01 12:00:01.000000,2022-08-01 16:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
143,20221202.100hz.100hz_Sensors_1Sec67.pkl,2022-08-01 16:00:01.000000,2022-08-01 20:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
144,20221202.100hz.100hz_Sensors_1Sec68.pkl,2022-08-01 20:00:01.000000,2022-08-02 00:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
145,20221202.100hz.100hz_Sensors_1Sec69.pkl,2022-08-02 00:00:01.000000,2022-08-02 04:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
146,20221202.100hz.100hz_Sensors_1Sec7.pkl,2022-07-22 16:00:01.000000,2022-06-09 17:06:53.770000,1.11,14407,425541774,1.0,14407,2.66666666667,False
147,20221202.100hz.100hz_Sensors_1Sec70.pkl,2022-08-02 04:00:01.000000,2022-08-02 08:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
148,20221202.100hz.100hz_Sensors_1Sec71.pkl,2022-08-02 08:00:01.000000,2022-08-02 12:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
149,20221202.100hz.100hz_Sensors_1Sec72.pkl,2022-08-02 12:00:01.000000,2022-08-02 16:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
150,20221202.100hz.100hz_Sensors_1Sec73.pkl,2022-08-02 16:00:01.000000,2022-08-02 20:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
151,20221202.100hz.100hz_Sensors_1Sec74.pkl,2022-08-02 20:00:01.000000,2022-08-03 00:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
152,20221202.100hz.100hz_Sensors_1Sec75.pkl,2022-08-03 00:00:01.000000,2022-08-03 04:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
153,20221202.100hz.100hz_Sensors_1Sec76.pkl,2022-08-03 04:00:01.000000,2022-08-03 08:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
154,20221202.100hz.100hz_Sensors_1Sec77.pkl,2022-08-03 08:00:01.000000,2022-08-03 12:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
155,20221202.100hz.100hz_Sensors_1Sec78.pkl,2022-08-03 12:00:01.000000,2022-08-03 16:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
156,20221202.100hz.100hz_Sensors_1Sec8.pkl,2022-07-22 20:00:01.000000,2022-06-10 10:41:59.290000,14.7,14406,720897,1.0,2,0.0,False
157,20221202.100hz.100hz_Sensors_1Sec9.pkl,2022-07-23 00:00:01.000000,2022-06-11 03:05:02.300000,3.08,14404,437741731,1.0,14404,1.66666666667,False
